game_id,week,posteam,defteam,qtr,down,play_type,epa,wpa,cpoe,success
2025_01_ARI_NO,1,ARI,NO,4.0,3.0,pass,2.431014271453023,0.05173611640930176,26.05499029159546,1.0
2025_01_ARI_NO,1,ARI,NO,4.0,1.0,run,-0.5281933858059347,-0.014195501804351807,,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,2.0,pass,1.3462599092163146,0.02047872543334961,21.660834550857544,1.0
2025_01_ARI_NO,1,ARI,NO,4.0,1.0,run,0.5809218399226665,0.03679704666137695,,1.0
2025_01_ARI_NO,1,ARI,NO,4.0,1.0,pass,-0.5380742514971644,-0.008651673793792725,-62.58641481399536,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,2.0,run,-0.7582455666270107,0.0018956661224365234,,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,3.0,pass,-1.3684153682552278,-0.015782713890075684,-66.09062552452087,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,4.0,punt,-0.2972182100638747,-0.0308835431933403,,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,1.0,pass,-0.5911574801430106,-0.013658620417118073,-69.68690156936646,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,2.0,pass,-0.7338894885033369,-0.008698143064975739,-89.78006839752197,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,3.0,no_play,-0.8222254058346152,-0.00902925431728363,,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,3.0,pass,-0.8525878603104502,-0.020604930818080902,-69.1480815410614,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,4.0,punt,-1.2386217060266063,-0.01109263300895691,,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,1.0,run,-0.29368604870978743,-0.0020145773887634277,,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,2.0,pass,0.06692167394794524,0.01154935359954834,18.4137761592865,1.0
2025_01_ARI_NO,1,ARI,NO,4.0,3.0,pass,0.9453721576137468,0.00821000337600708,28.536754846572876,1.0
2025_01_ARI_NO,1,ARI,NO,4.0,1.0,run,-0.9008842845214531,-0.009337425231933594,,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,2.0,run,-0.6697737157810479,-0.0014699101448059082,,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,2.0,run,-0.5692829846520908,-0.0017070770263671875,,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,3.0,run,-0.15945770128883674,-0.002951323986053467,,0.0
2025_01_ARI_NO,1,,,4.0,,no_play,-0.0,-0.0,,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,4.0,field_goal,-3.5106734431160405,-0.027707085013389587,,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,1.0,pass,-0.0009311832254752517,-0.0004182979464530945,16.144216060638428,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,2.0,pass,1.6412437769467942,0.0385112389922142,48.2154905796051,1.0
2025_01_ARI_NO,1,NO,ARI,4.0,1.0,pass,0.07638472010148689,-0.012388184666633606,20.794379711151123,1.0
2025_01_ARI_NO,1,NO,ARI,4.0,2.0,pass,1.0998746248078533,0.035451993346214294,33.44979286193848,1.0
2025_01_ARI_NO,1,NO,ARI,4.0,1.0,run,1.6075365016586147,0.022924453020095825,,1.0
2025_01_ARI_NO,1,NO,ARI,4.0,1.0,pass,-0.3755070921324659,-0.007588595151901245,-55.45741319656372,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,2.0,run,-1.3784453074040357,-0.07001854479312897,,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,3.0,pass,-1.547518397856038,-0.028025425970554352,,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,4.0,no_play,0.08372608226798661,-0.007835756987333298,,1.0
2025_01_ARI_NO,1,NO,ARI,4.0,4.0,field_goal,0.07803976369015686,0.025348860770463943,,1.0
2025_01_ARI_NO,1,ARI,NO,4.0,,kickoff,0.032730892300605774,0.005350351333618164,,1.0
2025_01_ARI_NO,1,ARI,NO,4.0,1.0,run,-0.37537380412686616,-0.0074002742767333984,,0.0
2025_01_ARI_NO,1,,,4.0,,no_play,-0.0,-0.0,,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,2.0,pass,-0.5886091338470578,0.014539957046508789,16.122573614120483,0.0
2025_01_ARI_NO,1,,,4.0,,no_play,-0.0,-0.0,,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,3.0,pass,-1.711793893482536,0.00443267822265625,,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,4.0,punt,-0.5414145777467638,-0.046037524938583374,,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,1.0,pass,-0.3509025126695633,-0.0188552588224411,-76.26256942749023,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,2.0,run,0.5396527596749365,0.01733100414276123,,1.0
2025_01_ARI_NO,1,NO,ARI,4.0,3.0,pass,0.4877676985342987,0.042747125029563904,22.55677580833435,1.0
2025_01_ARI_NO,1,NO,ARI,4.0,1.0,pass,0.11139434116194025,-0.020244285464286804,19.10361647605896,1.0
2025_01_ARI_NO,1,NO,ARI,4.0,2.0,pass,0.3426096609327942,0.0041054487228393555,18.006736040115356,1.0
2025_01_ARI_NO,1,NO,ARI,4.0,1.0,qb_spike,-0.1962345052161254,-0.018090374767780304,,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,2.0,pass,-0.29847116890596226,-0.015462145209312439,-35.40720045566559,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,3.0,pass,-0.07506325899157673,0.010590091347694397,28.17533016204834,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,4.0,pass,0.6139797169016674,0.01773032546043396,22.2509503364563,1.0
2025_01_ARI_NO,1,NO,ARI,4.0,1.0,qb_spike,-0.15143991849618033,-0.0025596916675567627,,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,2.0,pass,-0.30918887350708246,-0.005322001874446869,-40.431514382362366,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,3.0,pass,-0.14417833063635044,-0.03068317472934723,-34.959542751312256,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,4.0,pass,-2.5252382940088864,-0.08105966448783875,-31.04649782180786,0.0
2025_01_BAL_BUF,1,,,1.0,,,0.0,0.0,,0.0
2025_01_BAL_BUF,1,BUF,BAL,1.0,,kickoff,1.5751083677168936,0.03818488121032715,,1.0
2025_01_BAL_BUF,1,BUF,BAL,1.0,1.0,pass,0.4441046908032149,0.009858846664428711,23.51076602935791,1.0
2025_01_BAL_BUF,1,BUF,BAL,1.0,2.0,run,0.25493822945281863,0.020938754081726074,,1.0
2025_01_BAL_BUF,1,BUF,BAL,1.0,1.0,run,-0.24191475077532232,0.004818737506866455,,0.0
2025_01_BAL_BUF,1,BUF,BAL,1.0,2.0,pass,-0.7754669941496104,-0.03450441360473633,-56.748658418655396,0.0
2025_01_BAL_BUF,1,BUF,BAL,1.0,3.0,no_play,0.9164156581973657,0.034568846225738525,,1.0
